suburb,address,room,type,price,method,seller,date,bathroom,car,council_area
Abbotsford,85 Turner St,2,h,1480000,S,Biggin,3/12/2016,1,1,Yarra City Council
Abbotsford,25 Bloomburg St,2,h,1035000,S,Biggin,4/2/2016,1,0,Yarra City Council
Abbotsford,5 Charles St,3,h,1465000,SP,Biggin,4/3/2017,2,0,Yarra City Council
Abbotsford,55a Park St,4,h,1600000,VB,Nelson,4/6/2016,1,2,Yarra City Council
Abbotsford,129 Charles St,2,h,941000,S,Jellis,7/5/2016,1,0,Yarra City Council
Abbotsford,124 Yarra St,3,h,1876000,S,Nelson,7/5/2016,2,0,Yarra City Council
Abbotsford,98 Charles St,2,h,1636000,S,Nelson,8/10/2016,1,2,Yarra City Council
Abbotsford,6/241 Nicholson St,1,u,300000,S,Biggin,8/10/2016,1,1,Yarra City Council
Abbotsford,10 Valiant St,2,h,1097000,S,Biggin,8/10/2016,1,2,Yarra City Council
Abbotsford,411/8 Grosvenor St,2,u,700000,VB,Jellis,12/11/2016,2,1,Yarra City Council
Abbotsford,40 Nicholson St,3,h,1350000,VB,Nelson,12/11/2016,2,2,Yarra City Council
Abbotsford,123/56 Nicholson St,2,u,750000,S,Biggin,12/11/2016,2,1,Yarra City Council
Abbotsford,45 William St,2,h,1172500,S,Biggin,13/8/2016,1,1,Yarra City Council
Abbotsford,7/20 Abbotsford St,1,u,441000,SP,Greg,14/5/2016,1,1,Yarra City Council
Abbotsford,16 William St,2,h,1310000,S,Jellis,15/10/2016,1,2,Yarra City Council
Abbotsford,42 Henry St,3,h,1200000,S,Jellis,16/7/2016,2,1,Yarra City Council
Abbotsford,78 Yarra St,3,h,1176500,S,LITTLE,16/7/2016,1,1,Yarra City Council
Abbotsford,196 Nicholson St,3,h,955000,S,Collins,17/9/2016,1,0,Yarra City Council
Abbotsford,42 Valiant St,2,h,890000,S,Biggin,17/9/2016,1,1,Yarra City Council
Abbotsford,13/11 Nicholson St,3,t,900000,S,Beller,18/3/2017,2,2,Yarra City Council
Abbotsford,138/56 Nicholson St,3,u,1090000,S,Jellis,18/3/2017,2,2,Yarra City Council
Abbotsford,6/219 Nicholson St,2,u,500000,S,Collins,18/6/2016,1,1,Yarra City Council
Abbotsford,49 Park St,2,h,1315000,S,Marshall,19/11/2016,1,0,Yarra City Council
Abbotsford,5/20 Abbotsford St,1,u,426000,SP,Greg,22/8/2016,1,1,Yarra City Council
Abbotsford,116/56 Nicholson St,1,u,457000,S,Jellis,22/8/2016,1,1,Yarra City Council
Abbotsford,159 Park St,2,h,1135000,S,Nelson,22/8/2016,2,2,Yarra City Council
Abbotsford,31 Turner St,4,h,1542000,S,Collins,24/9/2016,3,1,Yarra City Council
Abbotsford,166 Gipps St,3,h,1290000,S,Biggin,25/2/2017,2,2,Yarra City Council
